Accordion,Аккордеон
Adhesive tape,Клейкая лента
Aircraft,Летательный аппарат
Airplane,Самолет
Alarm clock,Будильник
Alpaca,Альпака
Ambulance,Скорая помощь
Animal,Животное
Ant,Муравей
Antelope,Антилопа
Apple,Яблоко
Armadillo,Броненосец
Artichoke,Артишок
Auto part,Автозапчасти
Axe,Топор
Backpack,Рюкзак
Bagel,Бублик
Baked goods,Выпечка
Balance beam,Бревно
Ball,Мяч
Balloon,Воздушный шар
Banana,Банан
Band-aid,Лейкопластырь
Banjo,Банджо
Barge,Баржа
Barrel,Бочка
Baseball bat,Бейсбольная бита
Baseball glove,Бейсбольная перчатка
Bat (Animal),Бита (животное)
Bathroom accessory,Аксессуары для ванной комнаты
Bathroom cabinet,Шкафчик для ванной комнаты
Bathtub,Ванна
Beaker,Стакан
Bear,Медведь
Bed,Кровать
Bee,Пчела
Beehive,Улей
Beer,Пиво
Beetle,Жук
Bell pepper,Болгарский перец
Belt,Ремень
Bench,Скамейка
Bicycle,Велосипед
Bicycle helmet,Велосипедный шлем
Bicycle wheel,Велосипедное колесо
Bidet,Биде
Billboard,Рекламный щит
Billiard table,Бильярдный стол
Binoculars,Бинокль
Bird,Птица
Blender,Блендер
Blue jay,Голубая сойка
Boat,Лодка
Bomb,Бомба
Book,Книга
Bookcase,Книжный шкаф
Boot,Ботинок
Bottle,Бутылка
Bottle opener,Открывалка для бутылок
Bow and arrow,Лук и стрелы
Bowl,Чаша
Bowling equipment,Снаряжение для боулинга
Box,Коробка
Boy,Мальчик
Brassiere,Бюстгальтер
Bread,Хлеб
Briefcase,Портфель
Broccoli,Брокколи
Bronze sculpture,Бронзовая скульптура
Brown bear,Бурый медведь
Building,Здание
Bull,Бык
Burrito,Буррито
Bus,Автобус
Bust,Бюст
Butterfly,Бабочка
Cabbage,Капуста
Cabinetry,Краснодеревщик
Cake,Торт
Cake stand,Подставка для торта
Calculator,Калькулятор
Camel,Верблюд
Camera,Фотоаппарат
Can opener,Консервный нож
Canary,Канарейка
Candle,Свеча
Candy,Конфета
Cannon,Пушка
Canoe,Каноэ
Cantaloupe,Дыня
Car,Автомобиль
Carnivore,Хищник
Carrot,Морковь
Cart,Тележка
Cassette deck,Кассетная дека
Castle,Замок
Cat,Кошка
Cat furniture,Мебель для кошек
Caterpillar,Гусеница
